BookID,Title,Author,Genre,MinTierID
B00377,The Talking Cat (4th Edition),Carter Mahmud,Children,T0001
B00378,Digital Innovation Studies (3rd Edition),Helen Abdullah,Research Journal,T0001
B00379,Software Engineering Essentials (2nd Edition),Isabella Clark,Computer Science,T0001
B00380,The Silent Witness (3rd Edition),Gary Anderson,Fiction,T0001
B00381,The Winter Guest (3rd Edition),Philip Quek,Fiction,T0001
B00382,Genetics Fundamentals (10th Edition),Brian Basri,Science,T0001
B00383,Project Management Handbook (6th Edition),Linda Tan,Business,T0003
B00384,The Art of Programming (10th Edition),Gabrielle Campbell,Computer Science,T0003
B00385,Scientific Discoveries (5th Edition),Christian Liu,Science,T0001
B00386,Data Engineering Transactions (3rd Edition),Carl Teo,Research Journal,T0002
B00387,Real-Time Analytics (10th Edition),Rachel Ong,Data Engineering,T0001
B00388,Data Engineering Transactions (1st Edition),Vivian Ismail,Research Journal,T0001
B00389,The Long Goodbye (10th Edition),Crystal Chandra,Fiction,T0001
B00390,The Friendly Dragon (6th Edition),Simon Neo,Children,T0001
B00391,Generative AI Applications (2nd Edition),Susan Razak,Artificial Intelligence,T0001
B00392,A New Beginning (8th Edition),Mason Iyer,Fiction,T0001
B00393,Corporate Finance Basics (5th Edition),Paul Patel,Business,T0001
B00394,The Secret Treehouse (2nd Edition),Sharon Mehta,Children,T0001
B00395,The Lost Kingdom (10th Edition),Kenneth King,Young Adult,T0001
B00396,Historical Biographies (9th Edition),Stanley Toh,History,T0002
B00397,Scientific Discoveries (10th Edition),Sylvia Nelson,Science,T0002
B00398,Big Data Research Review (7th Edition),Kai Wen Yang,Research Journal,T0001
B00399,Life Sciences Handbook (1st Edition),Lillian Ong,Science,T0001
B00400,Marketing Essentials (7th Edition),Kai Xin Reddy,Business,T0002
B00401,The Midnight Journey (2nd Edition),Xin Yi Thompson,Young Adult,T0002
B00402,The Secret Treehouse (6th Edition),Bernice Zhao,Children,T0003
B00403,International Journal of AI Systems (3rd Edition),Rose Turner,Research Journal,T0001
B00404,Physics in Daily Life (3rd Edition),Kelly Zhang,Science,T0003
B00405,Deep Learning Foundations (2nd Edition),Jessica Phillips,Artificial Intelligence,T0001
B00406,Climate Science Today (10th Edition),Pei Yi Latif,Science,T0001
B00407,A World Apart (1st Edition),Eileen Collins,Young Adult,T0001
B00408,Fading Memories (8th Edition),Bryan Nair,Fiction,T0001
B00409,The Sleepy Dinosaur (4th Edition),Jerome Patel,Children,T0001
B00410,AI Applications Journal (4th Edition),Shawn Singh,Research Journal,T0001
B00411,Data Structures in Practice (1st Edition),David Pillai,Computer Science,T0001
B00412,Financial Management (8th Edition),Li Ting Davis,Business,T0001
B00413,Fading Memories (2nd Edition),Nicholas Phillips,Fiction,T0001
B00414,Computational Intelligence Review (2nd Edition),Leon Fang,Research Journal,T0001
B00415,Journal of Machine Learning Research (5th Edition),Lillian Wilson,Research Journal,T0001
B00416,Journal of Intelligent Systems (1st Edition),Audrey Liu,Research Journal,T0001
B00417,Shattered Reflections (6th Edition),Laura Razak,Fiction,T0001
B00418,A Day at the Zoo (9th Edition),Shu Ting Joshi,Children,T0001
B00419,Climate Science Today (4th Edition),Victoria Pillai,Science,T0002
B00420,The Secret Society (3rd Edition),Kyle Thomas,Young Adult,T0001
B00421,Software Engineering Essentials (3rd Edition),Theodore Sim,Computer Science,T0001
B00422,Scalable Data Platforms (6th Edition),Michael Lin,Data Engineering,T0001
B00423,Emerging Technologies Quarterly (8th Edition),Pei Ling Chan,Research Journal,T0001
B00424,Journal of Intelligent Systems (6th Edition),Keith Tan,Research Journal,T0001
B00425,The Human Body (8th Edition),Ashley Thompson,Science,T0001
B00426,Scientific Thinking (1st Edition),Joel Davis,Science,T0001
B00427,SQL for Data Professionals (8th Edition),Felicia Toh,Data Engineering,T0001
B00428,Introduction to Physics (2nd Edition),Nadia Hill,Science,T0001
B00429,The Little Inventor (7th Edition),Oliver Hassan,Children,T0001
B00430,The Human Body (6th Edition),Eva Deng,Science,T0003
B00431,The Secret Garden Gate (7th Edition),Nora He,Fiction,T0001
B00432,The Tiny Explorer (3rd Edition),Wei Jie Basri,Children,T0002
B00433,Advanced Programming Techniques (6th Edition),Dennis Cook,Computer Science,T0001
B00434,The Tiny Explorer (5th Edition),Leanne Wu,Children,T0001
B00435,The Secret Treehouse (4th Edition),Nathan Adams,Children,T0002
B00436,The Human Body (10th Edition),Candice Rahman,Science,T0001
B00437,Principles of Management (3rd Edition),Alice Xie,Business,T0001
B00438,The Lost Kingdom (7th Edition),Mason Hassan,Young Adult,T0001
B00439,The Brave Little Mouse (8th Edition),Derek Basri,Children,T0001
B00440,Climate Science Today (8th Edition),Jackson Pillai,Science,T0001
B00441,Principles of Chemistry (3rd Edition),Claire Agarwal,Science,T0002
B00442,Knowledge Discovery Journal (6th Edition),Linda Johnson,Research Journal,T0001
B00443,Database Performance Tuning (2nd Edition),Eileen Liu,Data Engineering,T0001
B00444,Distributed Systems Design (9th Edition),Connie Mitchell,Computer Science,T0001
B00445,Beyond the Storm (6th Edition),Gilbert Salleh,Fiction,T0002
B00446,The Final Challenge (8th Edition),Laura Sharma,Young Adult,T0001
B00447,Future Computing Research (9th Edition),Li Ting Thomas,Research Journal,T0001
B00448,Adventures in Candyland (2nd Edition),Ivan Green,Children,T0001
B00449,Journal of Intelligent Systems (10th Edition),Gladys Garcia,Research Journal,T0001
B00450,Modern Analytics Quarterly (3rd Edition),Simon Deng,Research Journal,T0001
B00451,Journal of Artificial Intelligence (2nd Edition),Andre Clark,Research Journal,T0001
B00452,Advanced Neural Architectures (1st Edition),Stephanie Poh,Artificial Intelligence,T0001
B00453,Journal of Artificial Intelligence (10th Edition),Philip Mahmud,Research Journal,T0001
B00454,Operating Systems Principles (3rd Edition),Angelina Razak,Computer Science,T0001
B00455,Future Computing Research (4th Edition),Belinda Sulaiman,Research Journal,T0001
B00456,The Forgotten Diary (4th Edition),Norman He,Young Adult,T0002
B00457,The Friendly Dragon (4th Edition),Belinda Hill,Children,T0001
B00458,AI Project Management (2nd Edition),Matthew Adams,Artificial Intelligence,T0001
B00459,Generative AI Applications (7th Edition),Ian Garcia,Artificial Intelligence,T0001
B00460,Advanced Computing Review (2nd Edition),Jessica He,Research Journal,T0001
B00461,The Mystery Balloon (7th Edition),Nicholas Turner,Children,T0001
B00462,Fading Memories (3rd Edition),Alex Davis,Fiction,T0001
B00463,Modern Analytics Quarterly (7th Edition),Katherine Moore,Research Journal,T0001
B00464,Big Data Research Review (4th Edition),Kathleen Poh,Research Journal,T0002
B00465,Advanced Neural Architectures (10th Edition),Amy Thompson,Artificial Intelligence,T0001
B00466,The Curious Rabbit (10th Edition),Kelly Hassan,Children,T0001
B00467,Journal of Artificial Intelligence (5th Edition),Xenia Rahman,Research Journal,T0001
B00468,World War Chronicles (2nd Edition),Arissa Davis,History,T0001
B00469,Big Data Research Review (3rd Edition),Candice Hashim,Research Journal,T0001
B00470,The Forgotten Diary (8th Edition),Sharon Chen,Young Adult,T0001
B00471,Startup Success Stories (9th Edition),Andre Garcia,Business,T0001
B00472,Intelligent Agents (8th Edition),Chloe Turner,Artificial Intelligence,T0002
B00473,Startup Success Stories (5th Edition),Leon Hassan,Business,T0001
B00474,Streaming Data Systems (10th Edition),Yvonne Williams,Data Engineering,T0001
B00475,Chemistry in Action (3rd Edition),Carmen Low,Science,T0001
B00476,Managing Change (6th Edition),Anna Singh,Business,T0003
B00477,Modern Biology (6th Edition),Ming Jie Ng,Science,T0001
B00478,The Golden Feather (7th Edition),Eva Low,Children,T0001
B00479,Parallel Computing Foundations (2nd Edition),Dennis Mitchell,Computer Science,T0001
B00480,Real-Time Analytics (1st Edition),Rose Williams,Data Engineering,T0001
B00481,Climate Science Today (1st Edition),Stephanie Mahmud,Science,T0002
B00482,Streaming Data Systems (8th Edition),Gordon Moore,Data Engineering,T0001
B00483,Real-Time Analytics (3rd Edition),Brianna Nair,Data Engineering,T0001
B00484,Operating Systems Principles (9th Edition),Reuben He,Computer Science,T0001
B00485,SQL for Data Professionals (10th Edition),George Thomas,Data Engineering,T0001
B00486,Computational Intelligence Review (10th Edition),Kai Xin Ahmad,Research Journal,T0001
B00487,Cloud Data Solutions (9th Edition),Brianna Verma,Data Engineering,T0001
B00488,Database Performance Tuning (8th Edition),Shu Ting Zhang,Data Engineering,T0001
B00489,The Curious Rabbit (4th Edition),Sophia Cai,Children,T0001
B00490,Ocean Science (10th Edition),Daniel Yusof,Science,T0001
B00491,Project Management Handbook (7th Edition),Laura Kumar,Business,T0001
B00492,Journey to Nowhere (5th Edition),Anne Brown,Fiction,T0001
B00493,Lily's First Journey (2nd Edition),Joshua Liu,Children,T0001
B00494,Road to Discovery (9th Edition),Michelle Malhotra,Young Adult,T0001
B00495,Knowledge Discovery Journal (5th Edition),Siti Wu,Research Journal,T0001
B00496,Journal of Machine Learning Research (1st Edition),Felix Kumar,Research Journal,T0001
B00497,Journey to Nowhere (6th Edition),Gavin Reddy,Fiction,T0002
B00498,The Little Inventor (2nd Edition),Gladys Miller,Children,T0001
B00499,Voices from the Past (8th Edition),Gavin Zhao,History,T0003
B00500,The Midnight Journey (7th Edition),Ryan Quek,Young Adult,T0001
